w_if,w_lof,w_z,w_ae,stability,br_rank_corr,objective
0.30000000000000004,0.2,0.4,0.1,0.8094117647058823,0.5529691890309076,0.7929481796106681
0.45,0.15000000000000002,0.05,0.35000000000000003,0.8282352941176468,0.5149924473131323,0.7928657588871064
0.5,0.15000000000000002,0.30000000000000004,0.05,0.8011764705882354,0.5691007346591844,0.7928634189589138
0.1,0.15000000000000002,0.65,0.1,0.8058823529411764,0.5591358765675496,0.7927251456124755
0.4,0.1,0.4,0.1,0.8023529411764706,0.5659448909761705,0.792662693332278
0.75,0.1,0.05,0.1,0.804705882352941,0.5612133451934928,0.7926562774748438
0.35000000000000003,0.15000000000000002,0.45,0.05,0.7999999999999997,0.5702523437188021,0.7925630859297004
0.2,0.2,0.5,0.1,0.8094117647058823,0.55121395001617,0.7925093698569836
0.05,0.15000000000000002,0.65,0.15000000000000002,0.8105882352941177,0.5482307218484667,0.7923517981091754
0.30000000000000004,0.15000000000000002,0.5,0.05,0.7999999999999998,0.5693368662521214,0.7923342165630303
0.15000000000000002,0.05,0.75,0.05,0.796470588235294,0.5763241591394956,0.792316333902521
0.7000000000000001,0.15000000000000002,0.05,0.1,0.8070588235294117,0.5550279908514285,0.792286409477563
0.75,0.05,0.15000000000000002,0.05,0.7964705882352942,0.5760898452879106,0.7922577554396247
0.5,0.15000000000000002,0.05,0.30000000000000004,0.8235294117647058,0.5219072402858135,0.7922415159538063
0.05,0.05,0.65,0.25,0.8141176470588236,0.5401250286377133,0.7920900806888401
0.65,0.1,0.15000000000000002,0.1,0.8023529411764707,0.5632912332982095,0.7919992789127878
0.55,0.15000000000000002,0.25,0.05,0.7999999999999998,0.5679253551357332,0.7919813387839332
0.05,0.15000000000000002,0.7000000000000001,0.1,0.8035294117647058,0.5608651778114568,0.7919810003352171
0.2,0.05,0.55,0.2,0.808235294117647,0.5514500116959782,0.7919801499828181
0.30000000000000004,0.15000000000000002,0.45,0.1,0.8035294117647058,0.5607621957725535,0.7919552548254913
0.4,0.15000000000000002,0.4,0.05,0.7988235294117646,0.5699469631716669,0.791898505498799
0.25,0.05,0.5,0.2,0.8070588235294117,0.5533768175290925,0.791873616146979
0.4,0.2,0.25,0.15000000000000002,0.8129411764705882,0.5414955706605528,0.7918444809004324
0.1,0.05,0.65,0.2,0.8094117647058823,0.5484527659459256,0.7918190738394225
0.55,0.05,0.25,0.15000000000000002,0.8035294117647059,0.5599727367207563,0.791757890062542
0.55,0.1,0.1,0.25,0.8141176470588234,0.5387370083326429,0.7917430756125724
0.05,0.05,0.7000000000000001,0.2,0.8094117647058822,0.5477257043616922,0.7916373084433641
0.5,0.2,0.25,0.05,0.8023529411764705,0.5616988918738621,0.7916011935567008
0.25,0.1,0.2,0.45,0.823529411764706,0.5190656910738722,0.7915311286508211
0.15000000000000002,0.15000000000000002,0.55,0.15000000000000002,0.8082352941176469,0.5491765416130997,0.7914117824620984
0.6000000000000001,0.30000000000000004,0.05,0.05,0.8141176470588234,0.5370778299570454,0.791328281018673
0.25,0.1,0.5,0.15000000000000002,0.8035294117647059,0.5579464095486203,0.7912513082695081
0.1,0.05,0.7000000000000001,0.15000000000000002,0.8035294117647058,0.5577511072229744,0.7912024826880966
0.45,0.15000000000000002,0.2,0.2,0.8117647058823529,0.540887501221746,0.791104228246613
0.25,0.05,0.2,0.5,0.8199999999999998,0.5235134245096876,0.7908783561274219
0.2,0.05,0.7000000000000001,0.05,0.7941176470588235,0.575254663049798,0.7908724892918613
0.45,0.1,0.4,0.05,0.7941176470588234,0.5752430924269613,0.790869596636152
0.6000000000000001,0.25,0.1,0.05,0.8058823529411764,0.551475529988035,0.7908100589675969
0.1,0.15000000000000002,0.6000000000000001,0.15000000000000002,0.8070588235294117,0.5489001750144675,0.7907544555183228
0.1,0.35000000000000003,0.4,0.15000000000000002,0.8352941176470587,0.49229396148513016,0.7907205491948119
0.45,0.1,0.25,0.2,0.8070588235294117,0.5486945255457409,0.790703043151141
0.4,0.2,0.05,0.35000000000000003,0.8305882352941175,0.5015705597790838,0.7906867575918297
0.30000000000000004,0.05,0.1,0.55,0.8211764705882352,0.519667398417947,0.7905050848986044
0.5,0.05,0.15000000000000002,0.30000000000000004,0.811764705882353,0.538459278427997,0.7904971725481758
0.4,0.1,0.35000000000000003,0.15000000000000002,0.8023529411764706,0.5571514972727672,0.790464344906427
0.1,0.25,0.45,0.2,0.8235294117647058,0.5143842030915033,0.7903607566552288
0.35000000000000003,0.05,0.05,0.55,0.8211764705882352,0.5190463950502896,0.79034983405669
0.15000000000000002,0.30000000000000004,0.45,0.1,0.8176470588235293,0.5260272908863673,0.7903303521333565
0.45,0.1,0.35000000000000003,0.1,0.7976470588235293,0.5659881672029736,0.7903205712125081
0.25,0.2,0.45,0.1,0.8047058823529412,0.5516264025202505,0.7902595418065332
0.1,0.05,0.6000000000000001,0.25,0.8094117647058823,0.5416086201900211,0.7901080374004464
0.30000000000000004,0.1,0.45,0.15000000000000002,0.8011764705882353,0.5579923075177582,0.7900863121735572
0.35000000000000003,0.25,0.30000000000000004,0.1,0.8082352941176468,0.5434422667788457,0.7899782137535348
0.15000000000000002,0.30000000000000004,0.4,0.15000000000000002,0.8247058823529412,0.5104357892224551,0.7899618884820844
0.1,0.1,0.55,0.25,0.8105882352941177,0.5385807524895004,0.7899393057694339
0.6000000000000001,0.15000000000000002,0.05,0.2,0.8105882352941175,0.5382929900508538,0.7898673651597723
0.4,0.05,0.45,0.1,0.7952941176470588,0.5687976612453038,0.7898464741348554
0.45,0.25,0.15000000000000002,0.15000000000000002,0.8152941176470585,0.5285565031948455,0.7897861846222406
0.15000000000000002,0.05,0.65,0.15000000000000002,0.7999999999999998,0.5591158814126778,0.7897789703531694
0.5,0.05,0.1,0.35000000000000003,0.8141176470588235,0.5308575540070841,0.7897732120311828
0.2,0.1,0.6000000000000001,0.1,0.7976470588235293,0.5637731095393104,0.7897668067965922
0.05,0.05,0.45,0.45,0.8176470588235293,0.5236473780647037,0.7897353739279406
0.8,0.1,0.05,0.05,0.7941176470588235,0.5706377048854249,0.789718249750768
0.35000000000000003,0.25,0.25,0.15000000000000002,0.8141176470588235,0.5305156438500868,0.7896877344919335
0.30000000000000004,0.05,0.5,0.15000000000000002,0.7988235294117646,0.5609425017320455,0.7896473901388936
0.25,0.2,0.4,0.15000000000000002,0.808235294117647,0.5417213201538448,0.7895479770972846
0.25,0.05,0.35000000000000003,0.35000000000000003,0.8129411764705883,0.5322181334090521,0.7895251215875572
0.5,0.1,0.2,0.2,0.8047058823529412,0.5486859262308834,0.7895244227341914
0.1,0.1,0.6000000000000001,0.2,0.8058823529411764,0.5462903179117767,0.7895137559485323
0.35000000000000003,0.05,0.1,0.5,0.8176470588235293,0.5225908508604213,0.7894712421268699
0.45,0.05,0.30000000000000004,0.2,0.8023529411764706,0.5530443806010643,0.7894375657385013
0.5,0.05,0.25,0.2,0.8023529411764705,0.5528444989654737,0.7893875953296037
0.15000000000000002,0.2,0.35000000000000003,0.30000000000000004,0.8223529411764706,0.512801474722383,0.7893768392688311
0.15000000000000002,0.15000000000000002,0.45,0.25,0.8129411764705883,0.5313833007365841,0.7893164134194401
0.25,0.1,0.30000000000000004,0.35000000000000003,0.8152941176470587,0.5265951602760434,0.7892958488925402
0.35000000000000003,0.35000000000000003,0.2,0.1,0.8235294117647058,0.5100309572494273,0.7892724451947097
0.1,0.1,0.7000000000000001,0.1,0.7952941176470587,0.566484305722375,0.7892681352541231
0.25,0.15000000000000002,0.5,0.1,0.7988235294117646,0.5592981099832152,0.789236292201686
0.35000000000000003,0.2,0.25,0.2,0.8129411764705883,0.5309942691306927,0.7892191555179673
0.6000000000000001,0.2,0.15000000000000002,0.05,0.7976470588235294,0.5614996044998675,0.7891984305367316
0.05,0.30000000000000004,0.4,0.25,0.8352941176470589,0.4859703888871853,0.7891396560453258
0.1,0.25,0.6000000000000001,0.05,0.801176470588235,0.5538665939537616,0.789054883782558
0.4,0.30000000000000004,0.2,0.1,0.8152941176470588,0.5254951820621353,0.7890208543390633
0.15000000000000002,0.15000000000000002,0.5,0.2,0.8082352941176469,0.5393983166191245,0.7889672262136046
0.05,0.15000000000000002,0.6000000000000001,0.2,0.8094117647058822,0.5365701208148075,0.788848412556643
0.45,0.25,0.2,0.1,0.8070588235294117,0.5411751238341348,0.7888231927232396
0.35000000000000003,0.15000000000000002,0.35000000000000003,0.15000000000000002,0.8023529411764705,0.5503752721216113,0.7887702886186381
0.4,0.1,0.25,0.25,0.8070588235294118,0.5406851027135143,0.7887006874430845
0.1,0.15000000000000002,0.55,0.2,0.8082352941176469,0.5382808601229858,0.7886878620895699
0.5,0.05,0.05,0.4,0.8141176470588235,0.5259867762281565,0.7885555175864509
0.65,0.05,0.05,0.25,0.8058823529411764,0.5424184239623348,0.7885457824611719
0.6000000000000001,0.2,0.05,0.15000000000000002,0.8082352941176469,0.5376900941835875,0.7885401706047204
0.6000000000000001,0.1,0.1,0.2,0.8035294117647058,0.5469868973717998,0.7885114302253029
0.2,0.2,0.4,0.2,0.8117647058823529,0.5302349426374614,0.7884410886005419
0.65,0.05,0.2,0.1,0.7929411764705881,0.5677736086894061,0.7884139904076456
0.30000000000000004,0.1,0.1,0.5,0.8188235294117646,0.5157230744669409,0.7883425333226175
0.55,0.1,0.30000000000000004,0.05,0.7894117647058824,0.5744390914443482,0.7883156552140282
0.45,0.15000000000000002,0.35000000000000003,0.05,0.7917647058823527,0.5691786877979335,0.7881770248906597
0.8,0.05,0.05,0.1,0.7941176470588235,0.5643138526349644,0.7881372866881529
0.55,0.30000000000000004,0.1,0.05,0.8070588235294117,0.5381461724801158,0.7880659548847349
